Year,OBS_STATUS,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Custom Breakdown,Composite breakdown,Unit of measure,Observation status,Nature of data points,Observation-level footnotes,Source details,Label for custom breakdown,Value
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,49.85
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Artificial surfaces,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Croplands,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Grassland,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Inland water bodies,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: MGCI,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Permanent snow and glaciers,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,"Land Cover: Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Shrub-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Sparsely natural vegetated areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Terrestrial barren land,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,0
2000,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2005,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2010,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2015,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
2018,E,E,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Mountain Green Cover Index [15.4.2],Custom code 04,Land Cover: Tree-covered areas,Percent,Estimated value,Estimated,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,49.85
